mood,job,need_size,mission_type,response
sad,facility director,large,setup,"Dear Polaris Mission Outfitting,

I would like to place a large order for the following mission supplies for an upcoming facility setup:

- 280 carbon mesh panels (500 units per package)
- 180 pressure-rated hull plates (250 units per package)
- 120 radiation barrier mesh units (24 meters wide, 100 meters long)
- 85 multi-layer thermal blankets (various grades)

I need the order delivered by August 15, 2025.

Thank you for your assistance.

Sincerely,
Director Chen  
Lunar Research Facility  
Contact: lunar-ops@polaris.space"
happy,station operator,small,routine,"We would like to place an order for 20 atmospheric seal strips and 12 reflective heatfoil wraps for our routine operations. Please deliver these supplies by August 15, 2025. Thank you!"
stressed,habitat director,small,experiment,"I would like to place an order for 18 cryo-storage units, 12 hydrophobic coating kits, and 15 environmental sensor pucks for our upcoming experiment. I need these supplies delivered by August 15, 2025. Thank you."
miserable,mission manager,small,installation,"I would like to order 22 modular light fixtures, 16 ion charge kits, and 12 portable power nodes. I need the supplies delivered by August 15, 2025, for our installation project."
miserable,EVA technician,small,spacewalk,"I would like to order 18 eva helmet lights, 12 rapid-assemble toolsets, and 8 zero-gravity adhesive packs for our spacewalk operations. I need these supplies delivered by August 15, 2025."
miserable,systems coordinator,medium,maintenance,"I would like to place a medium order for 45 structural foam tiles, 35 cryo-sealant cartridges, and 28 atmospheric seal strips. Please deliver the supplies by August 15, 2025, for an upcoming maintenance operation."
happy,engineering manager,large,construction,"We would like to place a large order for construction supplies for our upcoming facility expansion. Specifically, we need 220 pressure-rated hull plates, 180 carbon mesh panels, and 120 aerogel sheets. The order is needed by August 15, 2025. Thank you!"
miserable,mission coordinator,medium,deployment,"I would like to place a medium order for the following mission supplies for our upcoming deployment: 

- 35 polymer containment bags for specimen storage
- 28 biometric ID badges for crew identification
- 22 secure cargo cases for equipment transport
- 18 compressed air canisters for life support

I need these supplies delivered by August 10, 2025. Thank you."
stressed,station supervisor,large,upgrade,"I would like to place a large order for mission supplies for an upcoming station upgrade. We need the following items:

- 280 carbon mesh panels for structural work
- 180 thermal insulation sheets for environmental control
- 120 radiation barrier mesh units for protection
- 85 modular light fixtures for illumination

We require these supplies to be delivered by August 15, 2025."
miserable,technical lead,large,maintenance,"I would like to place a large order for high-quality mission supplies for an upcoming maintenance operation. I need 18 telescopic support beams, 85 pressure-rated hull plates, and 350 structural foam tiles. I require these supplies by August 15, 2025, to ensure adequate preparation time for the operation. Thank you."
miserable,operations chief,large,emergency,"I would like to place a large order for emergency supplies, including 180 eva-rated patch films, 120 cryo-sealant cartridges, and 280 nano-fiber bonding strips. I need these supplies delivered by August 10, 2025, for emergency response operations."
miserable,systems engineer,medium,research,"I would like to place an order for 35 environmental sensor pucks and 28 quantum marker dye units. I need these supplies delivered by August 15, 2025, for an upcoming research mission."
miserable,station coordinator,medium,routine,"I would like to place a medium order for the following mission supplies: 45 atmospheric seal strips, 35 reflective heatfoil wraps, and 28 hydrophobic coating kits. I need these supplies delivered by August 15, 2025, for routine operations. Thank you."
miserable,operations coordinator,small,exploration,"I would like to place an order for 18 mission data tablets, 25 holographic label tags, and 12 field diagnostic scanners. I need these supplies delivered by August 15, 2025, for the exploration mission."
pissed off,mission manager,small,installation,"I would like to order 16 portable power nodes, 12 ion charge kits, and 8 rapid-assemble toolsets. I need these supplies delivered by August 15, 2025, for an upcoming installation."
stressed,technical coordinator,medium,routine,"I would like to place a medium order for the following mission supplies for my upcoming routine operations: 35 compressed air canisters, 28 modular light fixtures, and 18 cryo-storage units. I need these supplies delivered by August 10, 2025."
pissed off,facility manager,large,installation,"I would like to place a large order for mission supplies for our upcoming installation. Please provide various grades and specifications, including hull plates, containment systems, and thermal protection. We need the supplies delivered by August 15, 2025. Thank you."
miserable,station logistics,medium,upgrade,"I would like to place a medium order for carbon mesh panels, 85gsm grade. Please deliver 180 panels by August 15, 2025, for our upcoming upgrade. Thank you."
sad,operations manager,medium,spacewalk,"I would like to place a medium order for the following spacewalk supplies:

- 25 eva helmet lights for crew visibility
- 18 zero-gravity adhesive packs for repairs
- 12 rapid-assemble toolsets for maintenance
- 8 compressed air canisters for emergencies

I need these supplies delivered by August 15, 2025. Thank you!"
happy,habitat supervisor,small,construction,"I would like to order 22 structural foam tiles and 16 thermal insulation sheets for our construction project. We need the supplies delivered by August 15, 2025."
miserable,engineering chief,large,maintenance,"I would like to place a large order for the following mission supplies for an upcoming maintenance operation: 

- 180 pressure-rated hull plates (standard grade)
- 120 carbon mesh panels (various specifications)
- 350 eva-rated patch films for repairs
- 280 nano-fiber bonding strips

I need these supplies delivered by August 15, 2025."
sad,mission director,large,exploration,"Dear Polaris Outfitting,

I would like to place a large order for mission supplies for an upcoming exploration. Please provide the following items:

- Carbon mesh panels: 18 packages (500 units per package)
- Thermal insulation sheets: 12 packages (500 units per package)
- Aerogel sheets: 8 packages (250 units per package)
- Radiation barrier mesh: 6 rolls (24 meters by 100 meters)

We need these supplies delivered by August 15, 2025.

Thank you,
Commander Torres  
Deep Space Exploration  
Contact: deepspace@polaris.space"
happy,maintenance supervisor,small,routine,"I would like to order 16 atmospheric seal strips, 12 reflective heatfoil wraps, and 8 cryo-sealant cartridges for routine maintenance. I need the supplies by August 15, 2025. Thank you!"
sad,habitat coordinator,medium,construction,"I would like to order the following construction supplies for our upcoming habitat expansion: 

- 45 structural foam tiles (high-density grade)
- 35 pressure-rated hull plates (standard specification)
- 28 carbon mesh panels for framework

Please ensure the order is delivered by August 15, 2025. Thank you."
miserable,technical director,large,exploration,"I would like to place a large order for the following mission supplies for our exploration: 

- 280 polymer containment bags for specimen collection
- 180 environmental sensor pucks for monitoring 
- 120 quantum marker dye units for tracking
- 350 holographic label tags for inventory
- 85 mission data tablets for recording

I need these supplies delivered by August 15, 2025. Thank you."
pissed off,station chief,large,emergency,"I need a large order of various mission supplies for our emergency response, including eva patch films, cryo-sealant cartridges, and atmospheric seals. I require 280 eva patch films, 180 cryo-sealant cartridges, and 350 atmospheric seal strips. The order needs to be delivered by August 1, 2025."
miserable,technical coordinator,medium,installation,"I would like to place a medium order for 45 modular light fixtures, 35 portable power nodes, and 28 ion charge kits. I need these supplies delivered by August 15, 2025, in preparation for the installation."
pissed off,operations director,large,upgrade,"I need to order 280 carbon mesh panels and 180 pressure-rated hull plates for our upcoming upgrade operation. I need the supplies delivered by August 15, 2025."
pissed off,habitat manager,large,emergency,"I would like to place a large order for high-quality emergency supplies for critical habitat systems. We need 120 multi-layer thermal blankets, 85 radiation barrier mesh units, and 180 aerogel sheets. Please ensure the order is delivered by August 15, 2025. Thank you."
stressed,facility coordinator,large,installation,"I would like to place a large order for the following mission supplies for our upcoming installation: 

- 350 structural foam tiles for foundation work
- 280 thermal insulation sheets for environmental control
- 180 atmospheric seal strips for pressurization
- 120 hydrophobic coating kits for protection

We need these supplies delivered by August 15, 2025. Thank you."
miserable,station operator,small,research,"I would like to order 18 environmental sensor pucks and 12 quantum marker dye units for our research project. We need these supplies delivered by August 15, 2025."
happy,mission logistics,small,installation,"I would like to place an order for 16 biometric ID badges, 12 secure cargo cases, and 22 holographic label tags. I need these supplies delivered by August 15, 2025, for our upcoming installation."
sad,maintenance coordinator,small,repair,"I would like to order 18 cryo-sealant cartridges and 12 eva-rated patch films for repair work. Please deliver them by August 15, 2025. Thank you."
stressed,mission coordinator,large,maintenance,"I would like to place a large order for mission supplies for an upcoming maintenance operation. Please provide the following items:

- 180 structural foam tiles (500 units per package)
- 280 nano-fiber bonding strips (24-inch sections)
- 120 reflective heatfoil wraps (various sizes)
- 85 atmospheric seal strips (per package)

I need these supplies delivered by August 15, 2025. Thank you."
happy,EVA coordinator,large,spacewalk,"We need to order 350 eva helmet lights for crew visibility, 280 zero-gravity adhesive packs for field repairs, and 180 rapid-assemble toolsets for equipment maintenance. The supplies are needed by August 15, 2025, for our spacewalk preparations."
miserable,operations manager,medium,exploration,"I would like to place a medium order for the following mission supplies for our exploration: 
- 35 mission data tablets for recording observations
- 28 field diagnostic scanners for analysis
- 18 quantum marker dye units for specimen tracking
- 12 environmental sensor pucks for monitoring

I need these supplies delivered by August 15, 2025. Thank you."
miserable,station coordinator,large,installation,"I would like to place a large order for the following mission supplies for our upcoming installation:

- 180 portable power nodes for distributed power
- 120 modular light fixtures for illumination
- 85 ion charge kits for power management
- 280 compressed air canisters for life support

Please deliver these supplies by August 15, 2025. Thank you."
miserable,maintenance lead,small,repair,"I would like to order the following supplies for repair operations: 18 cryo-sealant cartridges, 15 atmospheric seal strips, and 12 reflective heatfoil wraps. I need these supplies delivered by August 15, 2025. Thank you."
pissed off,habitat engineer,large,upgrade,"I need to order 280 pressure-rated hull plates, 180 carbon mesh panels, and 350 structural foam tiles for habitat upgrade operations. I need these supplies delivered by August 15, 2025."
pissed off,mission commander,medium,routine,"I would like to place an order for 35 polymer containment bags, 28 biometric ID badges, 18 secure cargo cases, and 12 holographic label tags. I need these supplies delivered by August 15, 2025, for routine operations. Thank you."
pissed off,station logistics,medium,research,"I would like to place an order for the following research supplies:

- 45 environmental sensor pucks for monitoring systems
- 35 quantum marker dye units for specimen tracking
- 28 mission data tablets for data collection

Please ensure that the order is delivered by August 15, 2025. Thank you."
stressed,technical coordinator,medium,emergency,"I would like to place a medium order for the following emergency supplies for our operations: 45 eva-rated patch films, 35 nano-fiber bonding strips, and 28 cryo-sealant cartridges. I need these supplies delivered by August 15, 2025. Thank you."
sad,maintenance coordinator,medium,exploration,"I would like to place a medium order for the following mission supplies for our exploration: 

- 35 thermal insulation sheets for environmental protection
- 28 multi-layer thermal blankets for crew safety
- 18 aerogel sheets for thermal management
- 12 radiation barrier mesh units for protection

I need these supplies delivered by August 15, 2025. Thank you."
stressed,operations chief,medium,routine,"I would like to place a medium order for the following supplies for routine operations: 

- 35 atmospheric seal strips for pressurization
- 28 reflective heatfoil wraps for thermal control
- 18 hydrophobic coating kits for maintenance

Please have these supplies delivered by August 15, 2025. Thank you."
pissed off,habitat coordinator,medium,spacewalk,"I would like to place a medium order for the following spacewalk supplies: 

- 35 eva helmet lights for crew visibility
- 28 rapid-assemble toolsets for maintenance
- 18 zero-gravity adhesive packs for repairs

Please deliver the order by August 15, 2025. Thank you."
happy,systems engineer,small,routine,"I would like to order the following supplies for our routine operations: 

- 18 compressed air canisters for life support
- 12 portable power nodes for distributed power
- 8 ion charge kits for power management

I need these supplies delivered by August 15, 2025. Thank you!"
